Index; Predictor name; Unit
1; Total temperature at fan inlet;  Ko 
2; Total temperature at LPC outlet; Ko 
3; Total temperature at HPC outlet; Ko 
4; Total temperature at LPT outlet; Ko 
5; Pressure at fan inlet;  psia 
6; Total pressure in bypass-duct;  psia 
7; Total pressure HPC outlet;  psia 
8; Physical fan speed;  rpm 
9; Physical core speed;  rpm 
10; Engine pressure ratio; - 
11; Static pressure at HPC outlet;  psia 
12; Ratio of fuel flow to “16”; pps/psi 
13; Corrected fan speed;  rpm 
14; Corrected core speed; rpm 
15; Bypass ratio  – 16 Burner fuel-air ratio; – 
17; Bleed Bleed enthalpy; – 
18; Demanded fan speed;  rpm 
19; Demanded core fan speed;  rpm 
20; HPT coolant bleed;  lbm/s 
21; LPT coolant bleed;  lbm/s 
